day,topic,telugu,pronunciation,english,sort_order
17,Health,మందుల షాపు ఎక్కడ ఉంది?,Mandula shop ekkada undi?,Where is the pharmacy?,5
17,Health,నా కడుపు నొప్పుగా ఉంది,Naa kadupu noppiga undi,My stomach hurts,6
17,Health,మందు వేసుకున్నావా?,Mandu vesukunnavaa?,Did you take medicine?,7
17,Health,ఇప్పుడు కొంచెం పరవాలేదు,Ippudu konchem paravaledu,I am feeling better,8
17,Health,విశ్రాంతి తీసుకోండి,Vishranthi teesukondi,Take rest,9
17,Health,అంబులెన్స్ కి కాల్ చేయండి,Ambulance ki call cheyandi,Call an ambulance,10
18,Restaurant conversation,ఇద్దరికి టేబుల్ కావాలి,Iddariki table kavali,"A table for two, please",1
18,Restaurant conversation,ఈరోజు స్పెషల్ ఏంటి?,Eeroju special enti?,What is special today?,2
18,Restaurant conversation,నాకు బిర్యానీ కావాలి,Naaku biryani kavali,I want biryani,3
18,Restaurant conversation,కారం కొంచెం తక్కువ వేయండి,Kaaram konchem takkuva veyandi,Make it less spicy,4
18,Restaurant conversation,రెండు కాఫీలు తీసుకురండి,Rendu coffeelu teesukurandi,Bring two coffees,5
18,Restaurant conversation,భోజనం చల్లగా ఉంది,Bhojanam challaga undi,The food is cold,6
18,Restaurant conversation,ఇది శాఖాహారమా?,Idi shakaharamaa?,Is this vegetarian?,7
18,Restaurant conversation,కొంచెం ఉల్లిపాయలు ఇస్తారా?,Konchem ullipayalu istaara?,Can I get some extra onions?,8
18,Restaurant conversation,మిగిలిన భోజనం ప్యాక్ చేయండి,Migilina bhojanam pack cheyandi,Pack the leftover food,9
18,Restaurant conversation,సర్వీస్ చాలా బాగుంది,Service chala bagundi,The service is good,10
19,Transportation,ఈ బస్సు ఎక్కడికి వెళుతుంది?,Ee bus ekkadiki velutundi?,Where does this bus go?,1
19,Transportation,ఛార్జీ ఎంత?,Chargee entha?,How much is the fare?,2
19,Transportation,ఆటో స్టేషన్ కి వెళుతుందా?,Auto station ki velutundaa?,Does the auto go to the station?,3
19,Transportation,దయచేసి మీటర్ వేయండి,Dayachesi meter veyandi,"Use the meter, please",4
19,Transportation,నేను యూపీఐ తో పే చేస్తాను,Nenu UPI tho pay chestanu,I will pay by UPI,5
19,Transportation,రైలు ఎప్పుడు వస్తుంది?,Train eppudu vastundi?,When will the train arrive?,6
19,Transportation,అది ఏ ప్లాట్‌ఫారమ్ మీదకు వస్తుంది?,Adi ae platform meedaku vastundi?,Which platform is it on?,7
19,Transportation,దయచేసి నెమ్మదిగా డ్రైవ్ చేయండి,Dayachesi nemmadiga drive cheyandi,Please drive slowly,8
19,Transportation,నేను ఇక్కడ దిగాలి,Nenu ikkada digali,I need to get down here,9
19,Transportation,రెండు నిమిషాలు ఆగు,Rendu nimishaalu aagu,Wait for two minutes,10
20,Making plans,నువ్వు రేపు ఖాళీగా ఉన్నావా?,Nuvvu repu khaaliga unnavaa?,Are you free tomorrow?,1
20,Making plans,ఈరోజు ప్లాన్ ఏంటి?,Eeroju plan enti?,What is the plan for today?,2
20,Making plans,మనం షాపింగ్ కి వెళ్దాం,Manam shopping ki veldhaam,Let's go shopping,3
20,Making plans,మనం ఏ టైమ్ కి కలుద్దాం?,Manam ae time ki kaluddam?,At what time should we meet?,4
20,Making plans,నేను నిన్ను పిక్ అప్ చేసుకుంటాను,Nenu ninnu pick up chesukuntanu,I will pick you up,5
20,Making plans,వింటుంటే బాగుంది,Vintunte bagundi,Sounds good,6
20,Making plans,నాకు వేరే ప్లాన్ ఉంది,Naaku vere plan undi,I have another plan,7
20,Making plans,మనం రేపు చేద్దామా?,Manam repu cheddamaa?,Can we do it tomorrow?,8
20,Making plans,నేను దాని కోసం ఎదురు చూస్తున్నాను,Nenu daani kosam eduru chustunnanu,I am looking forward to it,9
20,Making plans,నాకు తెలియజేయండి,Naaku teliyajeyandi,Let me know,10
21,Invitations,మిమ్మల్ని మా ఇంటికి ఆహ్వానిస్తున్నాను,Mimmalni maa intiki aahwanistunnanu,I invite you to my house,1
21,Invitations,దయచేసి పార్టీకి రండి,Dayachesi party-ki randi,Please come to the party,2
21,Invitations,రేపు నా పుట్టినరోజు,Repu naa puttinarooju,It is my birthday tomorrow,3
21,Invitations,మీరు వస్తున్నారా?,Meeru vastunnara?,Are you coming?,4
21,Invitations,మీ కుటుంబాన్ని కూడా తీసుకురండి,Mee kutumbanni kooda teesukurandi,Bring your family,5
21,Invitations,నేను తప్పకుండా వస్తాను,Nenu thappakunda vastanu,I will definitely come,6
21,Invitations,"క్షమించండి, నేను రాలేను","Kshaminchandi, nenu ralenu","Sorry, I cannot come",7
21,Invitations,ఆహ్వానించినందుకు ధన్యవాదాలు,Aahvaninchinanduku dhanyavadalu,Thank you for the invitation,8
21,Invitations,మేము మీ కోసం ఎదురు చూస్తున్నాము,Memu mee kosam eduru chustunnamu,We are waiting for you,9
21,Invitations,బాగా ఎంజాయ్ చేయండి,Baaga enjoy cheyandi,Have a great time,10
22,Requests,మీరు నాకు ఒక సహాయం చేస్తారా?,Meeru naaku oka sahayam chestaara?,Can you do me a favor?,1
22,Requests,దయచేసి అది నాకు ఇవ్వండి,Dayachesi adi naaku ivvandi,Please give me that,2
22,Requests,కొంచెం తలుపు మూస్తారా?,Konchem talupu moostara?,Could you close the door?,3
22,Requests,ఫ్యాన్ వేయండి,Fan veyandi,Turn on the fan,4
22,Requests,దయచేసి నెమ్మదిగా మాట్లాడండి,Dayachesi nemmadiga matladandi,Please speak slowly,5
22,Requests,మీ పెన్ తీసుకుంటాను?,Mee pen teesukuntanu?,Can I borrow your pen?,6
22,Requests,ఒక గ్లాస్ నీళ్లు ఇవ్వండి,Oka glass neellu ivvandi,Give me a glass of water,7
22,Requests,ఒకసారి చూపించండి,Okasari chupinchandi,Show me once,8
22,Requests,నాకు వివరించండి,Naaku vivarinchandi,Explain it to me,9
22,Requests,ఏమీ అనుకోవద్దు,Emee anukovaddu,Don't mind,10
23,Opinions,మీరు ఏమనుకుంటున్నారు?,Meeru emanukuntunnaru?,What do you think?,1
23,Opinions,నాకైతే ఇది బాగుందనిపిస్తోంది,Naakaithe idi bagundanipistondi,I think it is good,2
23,Opinions,నేను మీతో ఏకీభవిస్తున్నాను,Nenu meetho aekeebhavistunnanu,I agree with you,3
23,Opinions,నేను ఒప్పుకోను,Nenu oppukonu,I don't agree,4
23,Opinions,నా అభిప్రాయం ప్రకారం,Naa abhiprayam prakaram,In my opinion,5
23,Opinions,అది నిజమే,Adi nijame,That is right,6
23,Opinions,అది తప్పు,Adi thappu,That is wrong,7
23,Opinions,దానికేం పర్వాలేదు,Daanikem parvaledu,It doesn't matter,8
23,Opinions,మీరు కచ్చితంగా చెప్తున్నారా?,Meeru kachitanga cheptunnara?,Are you sure?,9
23,Opinions,బహుశా,Bahushaa,Maybe,10
24,Learning Telugu phrases,నేను తెలుగు నేర్చుకుంటున్నాను,Nenu Telugu nerchukuntunnanu,I am learning Telugu,1
24,Learning Telugu phrases,నా తెలుగు అంతగా బాగోలేదు,Naa Telugu anthaga bagoledu,My Telugu is not very good,2
24,Learning Telugu phrases,దీన్ని తెలుగులో ఏమంటారు?,Deenni Telugu-lo emantaru?,What is this called in Telugu?,3
24,Learning Telugu phrases,తెలుగులో ఎలా చెప్తారు?,Telugu-lo ela cheptaru?,How do you say it in Telugu?,4
24,Learning Telugu phrases,నేను సరిగ్గానే చెప్పానా?,Nenu sariggane cheppanaa?,Did I say it right?,5
24,Learning Telugu phrases,దయచేసి నన్ను సరిదిద్దండి,Dayachesi nannu sarididdandi,Please correct me,6
24,Learning Telugu phrases,అది రాయండి,Adi raayandi,Write it down,7
24,Learning Telugu phrases,దీని అర్థం ఏమిటి?,Deeni artham emiti?,What does this mean?,8
24,Learning Telugu phrases,నాకు కొంచెం అర్థమవుతుంది,Naaku konchem arthamavutundi,I understand a little bit,9
24,Learning Telugu phrases,తెలుగులో మాట్లాడండి,Telugu-lo matladandi,Speak in Telugu,10
25,Small talk,ఈరోజు వాతావరణం బాగుంది కదా?,Eeroju vaathavaranam bagundi kadaa?,"Nice weather today, right?",1
25,Small talk,నిన్న మ్యాచ్ చూశారా?,Ninna match choosara?,Did you watch the match?,2
25,Small talk,వీకెండ్ కి ఏమైనా ప్లాన్స్ ఉన్నాయా?,Weekend ki emaina plans unnayaa?,Any weekend plans?,3
25,Small talk,పని ఎలా జరుగుతోంది?,Pani ela jarugutondi?,How is the work going?,4
25,Small talk,కొత్త సంగతులు ఏంటి?,Kotha sangatulu enti?,What's new?,5
25,Small talk,పెద్దగా ఏమీ లేదు,Peddaga emee ledu,Nothing special,6
25,Small talk,దాని గురించి నేను విన్నాను,Daani gurinchi nenu vinnanu,I heard about it,7
25,Small talk,నిజంగానా?,Nijanganaa?,Really?,8
25,Small talk,అది ఆసక్తికరంగా ఉంది,Adi aasaktikaranga undi,That's interesting,9
25,Small talk,జాగ్రత్త,Jaagratta,Take care,10
26,City conversations,ఇది ఏ ఊరు?,Idi ae ooru?,Which city is this?,1
26,City conversations,హైదరాబాద్ చాలా అందమైన నగరం,Hyderabad chala andamaina nagaram,Hyderabad is a beautiful city,2
26,City conversations,మార్కెట్ ఎక్కడ ఉంది?,Market ekkada undi?,Where is the market?,3
26,City conversations,ఈరోజు ట్రాఫిక్ ఎక్కువగా ఉంది,Eeroju traffic ekkuvaga undi,Traffic is heavy today,4
26,City conversations,దగ్గరలో ఏటీఎం ఉందా?,Daggaralo ATM undaa?,Is there an ATM nearby?,5
26,City conversations,మంచి హోటల్ ఎక్కడ దొరుకుతుంది?,Manchi hotel ekkada dorukutundi?,Where can I find a good hotel?,6
26,City conversations,రాత్రిపూట సురక్షితమేనా?,Ratripoota surakshitamenaa?,Is it safe at night?,7
26,City conversations,ఇక్కడ ప్రసిద్ధ ప్రదేశాలు ఏవి?,Ikkada prasidda pradeshalu aevi?,What are the famous places here?,8
26,City conversations,రోడ్లు శుభ్రంగా ఉన్నాయి,Roadlu shubhranga unnayi,The roads are clean,9
26,City conversations,నాకు ఈ నగరం అంటే ఇష్టం,Naaku ee nagaram ante ishtam,I love this city,10
27,Asking for help,నాకు సహాయం చేయండి,Naaku sahayam cheyandi,Help me,1
27,Asking for help,ఎవరైనా నాకు సాయం చేస్తారా?,Evaraina naaku saayam chestara?,Can anyone help me?,2
27,Asking for help,నా బ్యాగ్ పోయింది,Naa bag poyindi,I lost my bag,3
27,Asking for help,దయచేసి పోలీసులకి కాల్ చేయండి,Dayachesi police-ulaki call cheyandi,Please call the police,4
27,Asking for help,పోలీస్ స్టేషన్ ఎక్కడ ఉంది?,Police station ekkada undi?,Where is the police station?,5
27,Asking for help,నాకు ఒక సమస్య ఉంది,Naaku oka samasya undi,I have a problem,6
27,Asking for help,నేను మీ ఫోన్ వాడుకోవచ్చా?,Nenu mee phone vaadukovachaa?,Can I use your phone?,7
27,Asking for help,నా డబ్బులు పోయాయి,Naa dabbulu poyayi,I lost my money,8
27,Asking for help,ఇతను మీకు తెలుసా?,Itanu meeku telusaa?,Do you know him?,9
27,Asking for help,దయచేసి నాతో ఉండండి,Dayachesi naatho undandi,Please stay with me,10
28,Understanding fast speech,మీరు ఏమన్నారు?,Meeru emannaru?,What did you say?,1
28,Understanding fast speech,నాకు అది సరిగ్గా అర్థం కాలేదు,Naaku adi sarigga artham kaaledu,I didn't catch that,2
28,Understanding fast speech,మళ్ళీ చెప్పండి,Malli cheppandi,Say it again,3
28,Understanding fast speech,మీకు అర్థమైందా?,Meeku arthamayindaa?,Did you get it?,4
28,Understanding fast speech,"అవును, నాకు అర్థమైంది","Avunu, naaku arthamayindi","Yes, I understand",5
28,Understanding fast speech,"లేదు, నాకు అర్థం కాలేదు","Ledu, naaku artham kaledu","No, I don't understand",6
28,Understanding fast speech,మీరు నాతోనే మాట్లాడుతున్నారా?,Meeru naathone matladutunnara?,Are you talking to me?,7
28,Understanding fast speech,నా మాట వినండి,Naa maata vinandi,Listen to me,8
28,Understanding fast speech,కొంచెం గట్టిగా మాట్లాడండి,Konchem gattiga matladandi,Speak a bit louder,9
28,Understanding fast speech,మీ ఉద్దేశ్యం ఏంటి?,Mee uddhesyam enti?,What do you mean?,10
29,Conversation practice,మనం తెలుగు ప్రాక్టీస్ చేద్దాం,Manam Telugu practice cheddaam,Let's practice Telugu,1
29,Conversation practice,నన్ను ఒక ప్రశ్న అడగండి,Nannu oka prashna adagandi,Ask me a question,2
29,Conversation practice,ఈరోజు ఎలా గడిచింది?,Eeroju ela gadichindi?,How was your day?,3
29,Conversation practice,బాగానే గడిచింది,Bagane gadichindi,It was good,4
29,Conversation practice,నాకు ఒక కథ చెప్పండి,Naaku oka katha cheppandi,Tell me a story,5
29,Conversation practice,మీకు ఇష్టమైన పనులు ఏంటి?,Meeku ishtamaina panulu enti?,What are your hobbies?,6
29,Conversation practice,నాకు సినిమాలు చూడటం ఇష్టం,Naaku cinemalu chudatam ishtam,I like watching movies,7
29,Conversation practice,మీరు ఎలాంటి పాటలు వింటారు?,Meeru elanti paatalu vintaru?,What music do you listen to?,8
29,Conversation practice,ఈరోజు మీరు ఎక్కడికి వెళ్లారు?,Eeroju meeru ekkadiki vellaru?,Where did you go today?,9
29,Conversation practice,నేను పార్కుకి వెళ్ళాను,Nenu park-ki vellanu,I went to the park,10
30,Real life conversations,ఈరోజు చాలా బాగా చేశారు!,Eeroju chala baaga chesaru!,Good job today!,1
30,Real life conversations,మనం కోర్సు పూర్తి చేసాము,Manam course poorthi chesamu,We have finished the course,2
30,Real life conversations,తెలుగులో మాట్లాడుతూ ఉండండి,Telugu-lo matladutu undandi,Keep speaking Telugu,3
30,Real life conversations,తప్పులు చేయడానికి భయపడకండి,Thappulu cheyadaniki bhayapadakandi,Don't be afraid to make mistakes,4
30,Real life conversations,మీరు మెరుగుపడుతున్నారు,Meeru merugupadutunnaru,You are improving,5
30,Real life conversations,నేర్చుకోవడానికి సమయం పడుతుంది,Nerchukovadaniki samayam padutundi,It takes time to learn,6
30,Real life conversations,ప్రతిరోజూ సాధన చేయండి,Pratiroju saadhana cheyandi,Practice every day,7
30,Real life conversations,స్థానిక ప్రజలతో మాట్లాడండి,Sthaanika prajalatho matladandi,Talk to local people,8
30,Real life conversations,నిన్ను చూస్తుంటే నాకు గర్వంగా ఉంది,Ninnu chustunte naaku garvanga undi,I am proud of you,9
30,Real life conversations,ధన్యవాదాలు మరియు వీడ్కోలు,Dhanyavadalu mariyu veedkolu,Thank you and goodbye,10